"platformname","cyclenumber","sampledirection","datamode","julianday","datadate","qc4date","latitude","longitude","qc4location","creationdate","updatedate"
"6902927","2","A","R","25538.1163","20191203024728","1","-20.61","-177.824","1","20191203032928","20191203032934"
"6902927","3","A","R","25539.1142","20191204024426","1","-20.54","-177.777","1","20191204032542","20191204032551"
"6902927","4","A","R","25540.1163","20191205024728","1","-20.472","-177.713","1","20191205032535","20191205032538"
"6902927","5","A","R","25541.1149","20191206024527","1","-20.423","-177.648","1","20191206033032","20191206033036"
"6902927","6","A","R","25542.1247","20191207025934","1","-20.401","-177.608","1","20191207032655","20191207032659"
"6902927","7","A","R","25543.1149","20191208024527","1","-20.376","-177.599","1","20191208032850","20191208032855"
"6902927","8","A","R","25544.1191","20191209025130","1","-20.367","-177.593","1","20191209032633","20191209032636"
"6902927","9","A","R","25545.1177","20191210024929","1","-20.368","-177.595","1","20191210032741","20191210032745"
"6902927","10","A","R","25546.1163","20191211024728","1","-20.361","-177.607","1","20191211033012","20191211033016"
"6902927","11","A","R","25547.1122","20191212024134","1","-20.341","-177.621","1","20191212032528","20191212032534"
"6902927","12","A","R","25548.1205","20191213025331","1","-20.318","-177.637","1","20191213033022","20191213033027"
"6902927","13","A","R","25549.1156","20191214024627","1","-20.317","-177.679","1","20191214032606","20191214032611"
"6902927","14","A","R","25550.1198","20191215025230","1","-20.305","-177.727","1","20191215032715","20191215032720"
"6902927","15","A","R","25551.1191","20191216025130","1","-20.293","-177.773","1","20191216033224","20191216033230"
"6902927","16","A","R","25552.1205","20191217025331","1","-20.275","-177.819","1","20191217032642","20191217032651"
"6902927","17","A","R","25553.1233","20191218025733","1","-20.231","-177.862","1","20191218033108","20191218033113"
"6902927","18","A","R","25554.1191","20191219025130","1","-20.18","-177.865","1","20191219032610","20191219032615"
"6902927","19","A","R","25555.1170","20191220024828","1","-20.129","-177.876","1","20191220032914","20191220032919"
"6902927","20","A","R","25556.1205","20191221025331","1","-20.094","-177.889","1","20191221033135","20191221033141"
"6902927","21","A","R","25557.1170","20191222024828","1","-20.065","-177.89","1","20191222032649","20191222032654"
"6902927","22","A","R","25558.1191","20191223025130","1","-20.013","-177.897","1","20191223033208","20191223033213"
"6902927","23","A","R","25559.1240","20191224025833","1","-19.956","-177.898","1","20191224032804","20191224032809"
"6902927","24","A","R","25560.1191","20191225025130","1","-19.895","-177.889","1","20191225032723","20191225032728"
"6902927","25","A","R","25561.1212","20191226025431","1","-19.84","-177.884","1","20191226033111","20191226033119"
"6902927","26","A","R","25562.1198","20191227025230","1","-19.789","-177.852","1","20191227032643","20191227032649"
"6902927","27","A","R","25563.1212","20191228025431","1","-19.751","-177.814","1","20191228033052","20191228033058"
"6902927","28","A","R","25564.1205","20191229025331","1","-19.739","-177.784","1","20191229032707","20191229032713"
"6902927","29","A","R","25565.1149","20191230024527","1","-19.73","-177.74","1","20191230032801","20191230032807"
"6902986","8","A","R","25536.1149","20191201024527","1","-19.444","-173.909","1","20191201033047","20191201033050"
"6902986","9","A","R","25537.1177","20191202024929","1","-19.421","-173.923","1","20191202032540","20191202032544"
"6902986","10","A","R","25538.1219","20191203025532","1","-19.384","-173.919","1","20191203033129","20191203033136"
"6902986","11","A","R","25539.1240","20191204025833","1","-19.363","-173.921","1","20191204032708","20191204032714"
"6902986","12","A","R","25540.1198","20191205025230","1","-19.28","-173.908","1","20191205032600","20191205032605"
"6902986","13","A","R","25541.1191","20191206025130","1","-19.191","-173.893","1","20191206033058","20191206033102"
"6902986","14","A","R","25542.1219","20191207025532","1","-19.07","-173.86","1","20191207032613","20191207032618"
"6902986","15","A","R","25543.1247","20191208025934","1","-18.959","-173.826","1","20191208033004","20191208033009"
"6902986","16","A","R","25544.1191","20191209025130","1","-18.824","-173.801","1","20191209032607","20191209032612"
"6902986","17","A","R","25545.1135","20191210024326","1","-18.694","-173.773","1","20191210032657","20191210032701"
"6902986","18","A","R","25546.1191","20191211025130","1","-18.568","-173.771","1","20191211033103","20191211033109"
"6902986","19","A","R","25547.1205","20191212025331","1","-18.478","-173.794","1","20191212032654","20191212032659"
"6902986","20","A","R","25548.1128","20191213024225","1","-18.413","-173.851","1","20191213032758","20191213032803"
"6902986","21","A","R","25549.1108","20191214023933","1","-18.35","-173.862","1","20191214032536","20191214032545"
"6902986","22","A","R","25550.1163","20191215024728","1","-18.272","-173.894","1","20191215032541","20191215032547"
"6902986","23","A","R","25551.1177","20191216024929","1","-18.203","-173.942","1","20191216033154","20191216033200"
"6902986","24","A","R","25552.1128","20191217024225","1","-18.125","-174.014","1","20191217032541","20191217032548"
"6902986","25","A","R","25553.1191","20191218025130","1","-18.116","-174.088","1","20191218033009","20191218033016"
"6902986","26","A","R","25554.1122","20191219024134","1","-18.079","-174.092","1","20191219032540","20191219032545"
"6902986","27","A","R","25555.1135","20191220024326","1","-18.023","-174.15","1","20191220032701","20191220032709"
"6902986","28","A","R","25556.1219","20191221025532","1","-17.973","-174.164","1","20191221033205","20191221033211"
"6902986","29","A","R","25557.1142","20191222024426","1","-17.937","-174.177","1","20191222032612","20191222032619"
"6902986","30","A","R","25558.1128","20191223024225","1","-17.907","-174.217","1","20191223033043","20191223033050"
"6902988","4","A","R","25536.1094","20191201023732","1","-19.346","-174.8","1","20191201033021","20191201033025"
"6902988","5","A","R","25537.1198","20191202025230","1","-19.352","-174.776","1","20191202032637","20191202032640"
"6902988","6","A","R","25538.1205","20191203025331","1","-19.35","-174.764","1","20191203033101","20191203033106"
"6902988","7","A","R","25539.1205","20191204025331","1","-19.35","-174.757","1","20191204032640","20191204032646"
"6902988","8","A","R","25540.1219","20191205025532","1","-19.352","-174.744","1","20191205032647","20191205032650"
"6902988","9","A","R","25541.1219","20191206025532","1","-19.358","-174.715","1","20191206033149","20191206033153"
"6902988","10","A","R","25542.1233","20191207025733","1","-19.367","-174.719","1","20191207032637","20191207032641"
"6902988","11","A","R","25543.1212","20191208025431","1","-19.363","-174.699","1","20191208032940","20191208032944"
"6902988","12","A","R","25544.1219","20191209025532","1","-19.363","-174.682","1","20191209032658","20191209032703"
"6902988","13","A","R","25545.1205","20191210025331","1","-19.367","-174.686","1","20191210032901","20191210032905"
"6902988","14","A","R","25546.1191","20191211025130","1","-19.376","-174.697","1","20191211033132","20191211033137"
"6902988","15","A","R","25547.1198","20191212025230","1","-19.379","-174.696","1","20191212032627","20191212032631"
"6902988","16","A","R","25548.1226","20191213025632","1","-19.394","-174.703","1","20191213033048","20191213033053"
"6902988","17","A","R","25549.1219","20191214025532","1","-19.405","-174.733","1","20191214032702","20191214032708"
"6902988","18","A","R","25550.1233","20191215025733","1","-19.403","-174.749","1","20191215032817","20191215032822"
"6902988","19","A","R","25551.1163","20191216024728","1","-19.403","-174.758","1","20191216033119","20191216033125"
"6902988","20","A","R","25552.1219","20191217025532","1","-19.427","-174.776","1","20191217032716","20191217032723"
"6902988","21","A","R","25553.1260","20191218030126","1","-19.423","-174.789","1","20191218042534","20191218042540"
"6902988","22","A","R","25554.1205","20191219025331","1","-19.421","-174.8","1","20191219032641","20191219032646"
"6902988","23","A","R","25555.1184","20191220025029","1","-19.418","-174.807","1","20191220032946","20191220032951"
"6902988","24","A","R","25556.1191","20191221025130","1","-19.408","-174.801","1","20191221033102","20191221033109"
"6902988","25","A","R","25557.1260","20191222030126","1","-19.409","-174.792","1","20191222032748","20191222032753"
"6902988","26","A","R","25558.1212","20191223025431","1","-19.422","-174.779","1","20191223033241","20191223033248"
"6902988","27","A","R","25559.1198","20191224025230","1","-19.445","-174.794","1","20191224032655","20191224032700"
"6902988","28","A","R","25560.1191","20191225025130","1","-19.45","-174.841","1","20191225032649","20191225032655"
"6902988","29","A","R","25561.1219","20191226025532","1","-19.441","-174.874","1","20191226033222","20191226033228"
"6902988","30","A","R","25562.1149","20191227024527","1","-19.445","-174.906","1","20191227032539","20191227032546"
"6902989","2","A","R","25536.1219","20191201025532","1","-19.433","-177.172","1","20191202151225","20191202151229"
"6902989","3","A","R","25537.1198","20191202025230","1","-19.404","-177.246","1","20191202151225","20191202151229"
"6902989","4","A","R","25538.1170","20191203024828","1","-19.392","-177.311","1","20191203033036","20191203033042"
"6902989","5","A","R","25539.1170","20191204024828","1","-19.384","-177.354","1","20191204032613","20191204032617"
"6902989","6","A","R","25540.1212","20191205025431","1","-19.382","-177.404","1","20191205032623","20191205032627"
"6902989","7","A","R","25541.1212","20191206025431","1","-19.38","-177.463","1","20191206033122","20191206033125"
"6902989","8","A","R","25542.1205","20191207025331","1","-19.378","-177.508","1","20191207032546","20191207032552"
